time,temperature,humidity
2019-10-29 12:37:26,77,60.0
2019-10-29 12:37:30,77,60.0
2019-10-29 12:37:33,77,60.0
2019-10-29 12:39:21,77,60.0
2019-10-29 12:39:24,54,158.0
2019-10-29 12:39:27,77,60.0
2019-10-29 12:39:31,77,60.0
2019-10-29 12:39:34,77,60.0
2019-10-29 12:39:37,77,60.0
2019-10-29 12:39:40,77,60.0
2019-10-29 12:39:43,77,60.0
2019-10-29 12:39:46,77,60.0
2019-10-29 12:39:52,77,59.0
2019-10-29 12:39:55,77,60.0
2019-10-29 12:39:58,77,60.0
2019-10-29 12:40:02,77,60.0
2019-10-29 12:40:05,77,60.0
2019-10-29 12:40:10,77,60.0
2019-10-29 12:40:14,77,60.0
2019-10-29 12:40:17,77,60.0
2019-10-29 12:40:20,77,60.0
2019-10-29 12:40:23,77,60.0
2019-10-29 12:40:29,77,60.0
2019-10-29 12:40:32,77,60.0
2019-10-29 12:40:35,77,60.0
2019-10-29 12:43:08,77,60.0
2019-10-29 12:43:12,77,60.0
2019-10-29 12:43:15,77,60.0
2019-10-29 12:43:18,77,60.0
2019-10-29 12:43:21,77,60.0
2019-10-29 12:43:24,77,60.0
2019-10-29 12:43:27,77,60.0
2019-10-29 12:43:31,77,60.0
2019-10-29 12:43:34,77,60.0
2019-10-29 12:43:37,77,60.0
2019-10-29 12:43:40,77,60.0
2019-10-29 12:43:43,77,60.0
2019-10-29 12:46:30,77,60.0
2019-10-29 12:46:33,77,60.0
2019-10-29 12:46:36,77,60.0
2019-10-29 12:46:39,77,60.0
2019-10-29 12:46:43,77,60.0
2019-10-29 12:46:46,77,60.0
2019-10-29 12:46:49,77,60.0
2019-10-29 12:46:52,77,60.0
2019-10-29 12:46:55,77,60.0
2019-10-29 12:46:58,77,60.0
2019-10-29 12:47:02,77,60.0
2019-10-29 12:47:07,77,61.0
2019-10-29 12:47:11,77,61.0
2019-10-29 12:47:14,77,61.0
2019-10-29 12:47:17,77,60.0
2019-10-29 12:47:20,77,60.0
2019-10-29 12:47:23,77,60.0
2019-10-29 12:47:26,77,60.0
2019-10-29 12:47:29,77,60.0
2019-10-29 12:47:33,77,60.0
2019-10-29 12:47:36,77,60.0
2019-10-29 12:47:39,77,60.0
2019-10-29 12:47:42,77,60.0
2019-10-29 12:47:45,77,60.0
2019-10-29 12:47:48,77,60.0
2019-10-29 12:47:52,77,60.0
2019-10-29 12:47:55,77,60.0
2019-10-29 12:48:01,77,60.0
2019-10-29 12:48:04,77,60.0
2019-10-29 12:48:10,77,60.0
2019-10-29 12:48:13,77,60.0
2019-10-29 12:48:18,77,60.0
2019-10-29 12:48:22,77,60.0
2019-10-29 12:48:25,77,59.0
2019-10-29 12:48:28,77,59.0
2019-10-29 12:48:31,77,59.0
2019-10-29 12:48:34,77,59.0
